Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-1-1,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,34.9,Q2,ENE,69,3.7,61,15.5,78,11.8
2016-1-2,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,35.3,Q2,SE,134,3.4,72,13.7,125,10.299999999999999
2016-1-3,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.3,40.7,Q2,SSE,148,15.8,159,15.5,121,-0.3000000000000007
2016-1-4,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,15.6,34.2,Q2,ESE,116,9.8,107,11.6,106,1.799999999999999
2016-1-5,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,52.3,40.7,Q2,SE,127,20.0,124,17.3,135,-2.6999999999999993
2016-1-6,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,41.2,44.6,Q3,S,175,18.9,171,21.0,173,2.1000000000000014
2016-1-7,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.7,56.5,Q4,SSW,199,26.2,198,24.1,190,-2.099999999999998
2016-1-8,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,39.6,Q2,ESE,117,2.3,252,12.7,82,10.399999999999999
2016-1-9,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,32.0,Q1,ENE,64,5.0,339,13.6,68,8.6
2016-1-10,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,39.2,Q2,NE,50,5.2,12,16.8,62,11.600000000000001
2016-1-11,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.3,28.1,Q1,NNE,22,6.9,354,10.9,84,4.0
2016-1-12,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.6,53.6,Q4,S,171,8.4,310,23.5,157,15.1
2016-1-13,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,33.5,Q1,ENE,61,5.2,65,14.2,63,9.0
2016-1-14,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,6.5,56.5,Q4,SSW,209,10.2,321,5.8,266,-4.3999999999999995
2016-1-15,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,18.0,60.8,Q4,S,179,12.7,223,27.2,165,14.5
2016-1-16,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.7,42.1,Q3,SSE,160,15.2,158,18.5,143,3.3000000000000007
2016-1-17,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,28.1,Q1,SSE,155,11.4,167,11.1,119,-0.3000000000000007
2016-1-18,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,30.6,Q1,NE,49,1.6,297,10.8,64,9.200000000000001
2016-1-19,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,32.4,Q1,NNE,24,6.3,347,9.9,44,3.6000000000000005
2016-1-20,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,30.2,Q1,NNW,342,10.3,299,9.4,4,-0.9000000000000004
2016-1-21,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,14.8,36.0,Q2,NNW,346,4.8,312,13.3,52,8.5
2016-1-22,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,13.0,34.6,Q2,NNE,21,7.1,165,6.9,81,-0.1999999999999993
2016-1-23,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,4.9,45.0,Q3,S,186,13.4,194,15.2,166,1.799999999999999
2016-1-24,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.2,28.1,Q1,SE,141,9.4,162,9.4,113,0.0
2016-1-25,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.8,37.1,Q2,E,93,8.0,95,14.8,86,6.800000000000001
2016-1-26,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,4.7,36.7,Q2,E,85,9.4,58,15.5,87,6.1
2016-1-27,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,2.3,33.1,Q1,NE,50,12.5,39,13.5,46,1.0
2016-1-28,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.1,24.5,Q1,NE,37,4.8,333,6.9,96,2.1000000000000005
2016-1-29,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,8.0,41.0,Q2,NE,48,10.9,46,3.8,49,-7.1000000000000005
2016-1-30,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,10.6,43.9,Q3,ESE,119,6.3,149,17.2,123,10.899999999999999
2016-1-31,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,43.2,Q3,WNW,299,7.2,323,19.5,298,12.3
2016-2-1,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,2.5,34.9,Q2,WSW,242,3.2,360,6.1,270,2.8999999999999995
2016-2-2,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,35.3,Q2,S,171,8.5,216,12.6,114,4.1
2016-2-3,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,38.2,Q2,ESE,103,5.1,352,13.3,88,8.200000000000001
2016-2-4,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.3,61.2,Q4,S,183,24.1,194,29.6,177,5.5
2016-2-5,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.4,58.7,Q4,SSE,166,26.2,164,25.6,156,-0.5999999999999979
2016-2-6,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,1.4,43.9,Q3,SE,141,16.5,134,16.9,124,0.3999999999999986
2016-2-7,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.4,30.6,Q1,SE,140,8.9,159,11.8,110,2.9000000000000004
2016-2-8,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,31.0,Q1,SSE,165,7.1,195,11.8,117,4.700000000000001
2016-2-9,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,1.2,40.7,Q2,SSE,155,17.5,166,13.6,127,-3.9000000000000004
2016-2-10,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,0.0,37.1,Q2,NE,38,8.0,342,14.8,56,6.800000000000001
2016-2-11,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,35.3,Q2,ENE,75,5.4,70,14.5,83,9.1
2016-2-12,Sydney (ERA5 grid point),-33.848858,151.19551,summer,0,1.0,36.0,Q2,ENE,65,1.0,45,14.2,74,13.2
2016-2-13,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.0,35.6,Q2,NNE,33,8.2,15,14.0,55,5.800000000000001
2016-2-14,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.9,43.2,Q3,SE,143,5.5,337,4.6,162,-0.9000000000000004
2016-2-15,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.4,31.3,Q1,SSE,149,6.1,183,9.8,114,3.700000000000001
2016-2-16,Sydney (ERA5 grid point),-33.848858,151.19551,summer,1,0.5,54.0,Q4,S,169,14.3,190,22.2,138,7.899999999999999
