latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-33.848858,151.19551,86.0,36000,Australia/Sydney,GMT+10

time,precipitation_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2016-01-01,0.00,34.9,15.5,69
2016-01-02,0.00,35.3,13.7,134
2016-01-03,1.30,40.7,18.4,148
2016-01-04,15.60,34.2,18.2,116
2016-01-05,52.30,40.7,21.8,127
2016-01-06,41.20,44.6,23.7,175
2016-01-07,0.70,56.5,26.2,199
2016-01-08,0.00,39.6,13.6,117
2016-01-09,0.00,32.0,14.2,64
2016-01-10,0.00,39.2,18.4,50
2016-01-11,1.30,28.1,10.9,22
2016-01-12,0.60,53.6,23.5,171
2016-01-13,0.00,33.5,15.1,61
2016-01-14,6.50,56.5,27.9,209
2016-01-15,18.00,60.8,28.2,179
2016-01-16,0.70,42.1,18.5,160
2016-01-17,0.00,28.1,12.4,155
2016-01-18,0.00,30.6,14.0,49
2016-01-19,0.00,32.4,14.0,24
2016-01-20,0.00,30.2,13.4,342
2016-01-21,14.80,36.0,15.4,346
2016-01-22,13.00,34.6,13.1,21
2016-01-23,4.90,45.0,19.9,186
2016-01-24,0.20,28.1,11.8,141
2016-01-25,1.80,37.1,16.7,93
2016-01-26,4.70,36.7,17.0,85
2016-01-27,2.30,33.1,17.2,50
2016-01-28,0.10,24.5,11.7,37
2016-01-29,8.00,41.0,11.8,48
2016-01-30,10.60,43.9,18.7,119
2016-01-31,0.00,43.2,20.6,299
2016-02-01,2.50,34.9,13.1,242
2016-02-02,0.00,35.3,14.5,171
2016-02-03,0.00,38.2,17.7,103
2016-02-04,1.30,61.2,31.4,183
2016-02-05,0.40,58.7,26.9,166
2016-02-06,1.40,43.9,17.3,141
2016-02-07,0.40,30.6,12.0,140
2016-02-08,0.00,31.0,11.8,165
2016-02-09,1.20,40.7,18.1,155
2016-02-10,0.00,37.1,16.9,38
2016-02-11,0.00,35.3,15.3,75
2016-02-12,1.00,36.0,15.2,65
2016-02-13,0.00,35.6,16.6,33
2016-02-14,0.90,43.2,21.1,143
2016-02-15,0.40,31.3,14.1,149
2016-02-16,0.50,54.0,22.2,169
2016-02-17,0.70,30.6,15.2,156
2016-02-18,0.00,37.4,17.1,83
2016-02-19,0.00,36.4,17.2,33
2016-02-20,1.10,47.9,18.8,172
2016-02-21,1.10,37.8,14.8,131
2016-02-22,0.00,36.7,17.4,48
2016-02-23,0.00,35.6,16.4,44
2016-02-24,0.00,40.7,18.1,41
2016-02-25,0.00,29.9,13.8,23
2016-02-26,0.00,50.0,27.1,157
2016-02-27,1.90,42.8,15.9,115
2016-02-28,0.00,37.8,16.2,101
2016-02-29,0.70,34.6,13.4,131
2016-03-01,0.70,36.0,17.1,61
2016-03-02,0.00,39.6,18.8,38
2016-03-03,0.00,43.2,20.3,52
2016-03-04,0.00,41.8,18.5,53
2016-03-05,0.00,37.8,17.4,50
2016-03-06,0.00,45.7,20.9,52
2016-03-07,0.00,39.6,18.4,66
2016-03-08,0.00,41.0,18.4,66
2016-03-09,0.00,35.3,15.9,40
2016-03-10,0.00,34.2,16.5,126
2016-03-11,0.40,40.3,10.7,61
2016-03-12,0.00,36.7,17.4,67
2016-03-13,0.00,36.0,16.5,60
2016-03-14,4.20,37.4,16.1,168
2016-03-15,2.70,45.0,19.9,173
2016-03-16,3.80,41.0,17.2,162
2016-03-17,1.10,31.3,12.8,77
2016-03-18,3.90,64.8,24.1,320
2016-03-19,0.00,40.0,19.4,201
2016-03-20,3.50,42.5,18.8,183
2016-03-21,4.80,42.8,17.2,188
2016-03-22,0.30,44.3,20.7,200
2016-03-23,0.00,29.5,13.2,215
2016-03-24,0.00,36.4,17.0,42
2016-03-25,0.00,23.4,13.2,302
2016-03-26,0.00,35.3,17.0,112
2016-03-27,2.20,32.4,15.5,121
2016-03-28,1.50,27.4,11.9,156
2016-03-29,2.50,32.4,14.5,196
2016-03-30,2.60,36.0,15.5,273
2016-03-31,0.00,32.8,14.0,207
2016-04-01,0.00,31.3,15.9,17
2016-04-02,0.00,23.0,10.1,251
2016-04-03,3.20,34.9,15.3,150
2016-04-04,4.50,32.0,11.2,127
2016-04-05,0.00,40.7,20.2,31
2016-04-06,0.00,37.1,15.7,348
2016-04-07,0.00,42.5,20.1,160
2016-04-08,0.60,23.8,12.8,19
2016-04-09,0.00,28.8,13.1,184
2016-04-10,0.00,18.4,7.6,297
2016-04-11,0.00,34.9,16.3,179
2016-04-12,1.50,32.8,13.4,164
2016-04-13,0.50,27.4,11.0,150
2016-04-14,0.80,29.9,13.4,49
2016-04-15,0.00,34.9,14.8,17
2016-04-16,0.00,18.4,11.2,60
2016-04-17,11.30,37.8,17.0,179
2016-04-18,0.90,28.4,13.9,188
2016-04-19,1.10,22.0,10.2,188
2016-04-20,0.00,22.3,10.9,63
2016-04-21,0.00,24.8,12.2,14
