Season,RainTomorrow,Measure,n,mean,median,sd,q1,q3
autumn,0,WindGustSpeed,273,37.972527472527474,36.0,12.450062596707147,28.8,44.3
autumn,0,WindSpeed9am,273,11.097069597069597,9.5,6.197781165963175,6.5,14.4
autumn,0,WindSpeed3pm,273,14.238827838827838,13.4,6.489076915033612,9.7,18.1
autumn,0,WindSpeedChange,273,3.141758241758242,3.6999999999999993,6.416323380312891,-0.6000000000000005,7.900000000000002
autumn,1,WindGustSpeed,371,40.409973045822106,38.2,12.619640751700272,30.6,46.599999999999994
autumn,1,WindSpeed9am,371,12.612668463611861,11.3,6.671194726304505,7.65,16.6
autumn,1,WindSpeed3pm,371,15.909973045822104,15.3,6.46164423467338,11.55,19.3
autumn,1,WindSpeedChange,371,3.2973045822102423,3.5,5.5153244261691325,-0.2999999999999998,7.25
spring,0,WindGustSpeed,278,45.93129496402877,45.0,11.018795516511947,38.5,52.9
spring,0,WindSpeed9am,278,12.627338129496401,11.5,6.498034201551548,7.6,17.3
spring,0,WindSpeed3pm,278,18.58129496402878,17.95,6.169449224377871,14.8,22.7
spring,0,WindSpeedChange,278,5.953956834532375,5.75,6.430739200870314,1.9000000000000008,10.375
spring,1,WindGustSpeed,359,46.811699164345406,45.0,11.916257012291576,38.0,54.55
spring,1,WindSpeed9am,359,14.15041782729805,12.6,7.76613789921512,8.2,19.25
spring,1,WindSpeed3pm,359,18.84623955431755,18.5,6.394190891765003,14.7,22.7
spring,1,WindSpeedChange,359,4.695821727019499,4.9,7.118534257788127,-0.20000000000000062,10.0
summer,0,WindGustSpeed,212,45.87311320754716,45.0,9.337306497682995,39.6,50.5
summer,0,WindSpeed9am,212,10.893396226415092,10.149999999999999,5.934568484980528,6.2,15.025
summer,0,WindSpeed3pm,212,18.91509433962264,18.8,5.606204965418282,15.35,22.325
summer,0,WindSpeedChange,212,8.021698113207547,8.299999999999999,6.941099585329124,2.875,13.25
summer,1,WindGustSpeed,419,47.79689737470167,46.1,11.757661247296983,39.8,54.7
summer,1,WindSpeed9am,419,14.20596658711217,13.4,7.232971270894104,8.55,19.4
summer,1,WindSpeed3pm,419,19.05894988066826,18.6,6.3166776171886125,14.8,22.7
summer,1,WindSpeedChange,419,4.852983293556087,4.600000000000001,6.9105293371648395,-0.0499999999999989,9.2
winter,0,WindGustSpeed,358,39.80810055865921,37.8,14.198706544276344,27.8,49.3
winter,0,WindSpeed9am,358,13.706424581005585,12.2,6.28100939796473,9.2,17.7
winter,0,WindSpeed3pm,358,14.713966480446928,12.9,8.252633934448816,8.4,20.375
winter,0,WindSpeedChange,358,1.007541899441341,0.9000000000000004,6.186225241319197,-3.1999999999999997,4.700000000000001
winter,1,WindGustSpeed,286,39.285664335664336,36.0,14.943004139563246,27.7,47.8
winter,1,WindSpeed9am,286,12.865384615384615,11.4,6.348572793803236,8.225,15.875
winter,1,WindSpeed3pm,286,15.11958041958042,14.1,7.619589331303921,8.9,20.375
winter,1,WindSpeedChange,286,2.2541958041958043,1.8999999999999995,5.7256057566710306,-1.975,5.800000000000001
