Season,WindGustSpeedGroup,n,rainy_tomorrow,rainfall_rate,ci_low,ci_high
autumn,Q1,257,136,0.5291828793774319,0.4708171206225681,0.5875486381322957
autumn,Q2,154,87,0.564935064935065,0.487012987012987,0.6428571428571429
autumn,Q3,126,83,0.6587301587301587,0.5714285714285714,0.746031746031746
autumn,Q4,107,65,0.6074766355140186,0.514018691588785,0.7009345794392523
spring,Q1,71,41,0.5774647887323944,0.4647887323943662,0.6901408450704225
spring,Q2,194,106,0.5463917525773195,0.4742268041237113,0.6134020618556701
spring,Q3,163,89,0.5460122699386503,0.4662576687116564,0.6196319018404908
spring,Q4,209,123,0.5885167464114832,0.5215311004784688,0.6602870813397129
summer,Q1,55,39,0.7090909090909091,0.5818181818181818,0.8181818181818182
summer,Q2,165,107,0.6484848484848484,0.5757575757575758,0.7151515151515152
summer,Q3,218,130,0.5963302752293578,0.5321100917431193,0.6605504587155964
summer,Q4,193,143,0.7409326424870466,0.6787564766839378,0.8031088082901554
winter,Q1,279,133,0.4767025089605735,0.41935483870967744,0.5340501792114696
winter,Q2,115,49,0.4260869565217391,0.3391304347826087,0.5217391304347826
winter,Q3,127,55,0.4330708661417323,0.3464566929133858,0.5196850393700787
winter,Q4,123,49,0.3983739837398374,0.3089430894308943,0.4878048780487805
