Season,WindGustSpeedGroup,n,rainy_tomorrow,rainfall_rate,ci_low,ci_high
autumn,Q1,257,136,0.5291828793774319,0.4708171206225681,0.5914396887159533
autumn,Q2,154,87,0.564935064935065,0.487012987012987,0.6428571428571429
autumn,Q3,126,83,0.6587301587301587,0.5714285714285714,0.7380952380952381
autumn,Q4,107,65,0.6074766355140186,0.514018691588785,0.7009345794392523
spring,Q1,71,41,0.5774647887323944,0.4647887323943662,0.6901408450704225
spring,Q2,194,106,0.5463917525773195,0.4742268041237113,0.6185567010309279
spring,Q3,163,89,0.5460122699386503,0.4662576687116564,0.6197852760736188
spring,Q4,209,123,0.5885167464114832,0.5215311004784688,0.6555023923444976
summer,Q1,55,39,0.7090909090909091,0.5818181818181818,0.8181818181818182
summer,Q2,165,107,0.6484848484848484,0.5757575757575758,0.7151515151515152
summer,Q3,218,130,0.5963302752293578,0.536697247706422,0.6605504587155964
summer,Q4,193,143,0.7409326424870466,0.6787564766839378,0.8031088082901554
winter,Q1,279,133,0.4767025089605735,0.41935483870967744,0.5376344086021505
winter,Q2,115,49,0.4260869565217391,0.3391304347826087,0.5130434782608696
winter,Q3,127,55,0.4330708661417323,0.3543307086614173,0.5196850393700787
winter,Q4,123,49,0.3983739837398374,0.3170731707317073,0.4878048780487805
